hour,source_availability_state,source_derate_factor,bess_availability_state,electrolyzer_availability_state,compute_availability_state,cable_availability_state,maintenance_code,failure_code
0,1,1.0,1,1,1,1,NONE,NONE
1,1,1.0,1,1,1,1,NONE,NONE
2,1,1.0,1,1,1,1,NONE,NONE
3,1,1.0,1,1,1,1,NONE,NONE
4,1,1.0,1,1,1,1,NONE,NONE
5,1,1.0,1,1,1,1,NONE,NONE
6,1,1.0,1,1,1,1,NONE,NONE
7,1,1.0,1,1,1,1,NONE,NONE
8,1,1.0,1,1,1,1,NONE,NONE
9,1,1.0,1,1,1,1,NONE,NONE
10,1,1.0,1,1,1,1,NONE,NONE
11,1,1.0,1,1,1,1,NONE,NONE
12,1,1.0,1,1,1,1,NONE,NONE
13,1,1.0,1,1,1,1,NONE,NONE
14,1,1.0,1,1,1,1,NONE,NONE
15,1,1.0,1,1,1,1,NONE,NONE
16,1,1.0,1,1,1,1,NONE,NONE
17,1,1.0,1,1,1,1,NONE,NONE
18,1,1.0,1,1,1,1,NONE,NONE
19,1,1.0,1,1,1,1,NONE,NONE
20,1,1.0,1,1,1,1,NONE,NONE
21,1,1.0,1,1,1,1,NONE,NONE
22,1,1.0,1,1,1,1,NONE,NONE
23,1,1.0,1,1,1,1,NONE,NONE
