hour,marine_request_mw,price_power_cny_per_kwh,price_compute_cny_per_mwh_it,price_h2_cny_per_kg
0,18.0,0.35,1500.0,30.0
1,18.0,0.35,1500.0,30.0
2,18.0,0.35,1500.0,30.0
3,18.0,0.35,1500.0,30.0
4,18.0,0.35,1500.0,30.0
5,18.0,0.35,1500.0,30.0
6,18.0,0.35,1500.0,30.0
7,18.0,0.35,1500.0,30.0
8,18.0,0.35,1500.0,30.0
9,18.0,0.35,1500.0,30.0
10,18.0,0.35,1500.0,30.0
11,18.0,0.35,1500.0,30.0
12,18.0,0.35,1500.0,30.0
13,18.0,0.35,1500.0,30.0
14,18.0,0.35,1500.0,30.0
15,18.0,0.35,1500.0,30.0
16,18.0,0.35,1500.0,30.0
17,18.0,0.35,1500.0,30.0
18,18.0,0.35,1500.0,30.0
19,18.0,0.35,1500.0,30.0
20,18.0,0.35,1500.0,30.0
21,18.0,0.35,1500.0,30.0
22,18.0,0.35,1500.0,30.0
23,18.0,0.35,1500.0,30.0
