hydrogen_price_cny_per_kg,compute_price_cny_per_mwh_it,best_flexible_candidate_id,strategy,case_id,scenario_weight,full_project_capex_cny,common_infrastructure_annual_cost_cny,flexible_asset_annual_cost_cny,electrolyzer_stack_replacement_cny,annual_operating_margin_cny,gross_revenue_cny,best_flexible_full_project_net_annual_value_cny,renewable_generation_mwh,renewable_utilization_rate,curtailment_mwh,export_land_mwh,spot_compute_service_mwh_it,spot_compute_service_rate,hydrogen_sales_kg,hydrogen_demand_service_rate,eens_mwh,max_offshore_balance_residual_mw,max_land_balance_residual_mw,battery_power_mw,battery_energy_mwh,electrolyzer_power_mw,hydrogen_storage_kg,fuel_cell_power_mw,compute_it_capacity_mw,hydrogen_export_capacity_kg_per_h,direct_full_project_net_annual_value_cny,incremental_net_value_vs_direct_cny_per_year,selected_overall_candidate_id
20,1000,hydrogen_led,hydrogen_led,contract_c1000_h20,1,3.13557194e+10,3103409895,328558685.1,25644080.11,1080495550,1178210399,-2351473030,3300000,0.999832275,553.4925446,1734322.233,0,0,24326400.11,0.2314155261,0,0,2.842170943e-14,0,0,308.7479476,36089.98728,0,0,4025.552976,-2062362162,-289110868,direct
20,1250,hydrogen_led,hydrogen_led,contract_c1250_h20,1,3.13557194e+10,3103409895,328558685.1,25644080.11,1080495550,1178210399,-2351473030,3300000,0.999832275,553.4925446,1734322.233,0,0,24326400.11,0.2314155261,0,0,2.842170943e-14,0,0,308.7479476,36089.98728,0,0,4025.552976,-2062362162,-289110868,direct
20,1500,compute_led,compute_led,contract_c1500_h20,1,3.75420455e+10,3103409895,1300967657,0,2293084442,2325621030,-2111293110,3300000,0.9832896833,55144.0452,1731318.261,1175460.235,0.9128228459,0,0,0,2.842170943e-14,2.842170943e-14,0,0,0,0,0,136.5,0,-2062362162,-48930948,direct
20,1750,compute_led,compute_led,contract_c1750_h20,1,3.75420455e+10,3103409895,1300967657,0,2586949500,2619486089,-1817428052,3300000,0.9832896833,55144.0452,1731318.261,1175460.235,0.9128228459,0,0,0,2.842170943e-14,2.842170943e-14,0,0,0,0,0,136.5,0,-2062362162,244934110,compute_led
20,2000,compute_led,compute_led,contract_c2000_h20,1,3.75420455e+10,3103409895,1300967657,0,2880814559,2913351147,-1523562993,3300000,0.9832896833,55144.0452,1731318.261,1175460.235,0.9128228459,0,0,0,2.842170943e-14,2.842170943e-14,0,0,0,0,0,136.5,0,-2062362162,538799169,compute_led
20,2250,compute_led,compute_led,contract_c2250_h20,1,3.75420455e+10,3103409895,1300967657,0,3174679618,3207216206,-1229697934,3300000,0.9832896833,55144.0452,1731318.261,1175460.235,0.9128228459,0,0,0,2.842170943e-14,2.842170943e-14,0,0,0,0,0,136.5,0,-2062362162,832664228,compute_led
20,2500,compute_led,compute_led,contract_c2500_h20,1,3.75420455e+10,3103409895,1300967657,0,3468544677,3501081265,-935832875.2,3300000,0.9832896833,55144.0452,1731318.261,1175460.235,0.9128228459,0,0,0,2.842170943e-14,2.842170943e-14,0,0,0,0,0,136.5,0,-2062362162,1126529287,compute_led
25,1000,hydrogen_led,hydrogen_led,contract_c1000_h25,1,3.13557194e+10,3103409895,328558685.1,36471613.32,1227916590,1360108359,-2204051991,3300000,0.999832275,553.4925446,1172855.134,0,0,34597577.86,0.3291245991,0,0,2.842170943e-14,0,0,308.7479476,36089.98728,0,0,4025.552976,-2062362162,-141689829,direct
25,1250,hydrogen_led,hydrogen_led,contract_c1250_h25,1,3.13557194e+10,3103409895,328558685.1,36471613.32,1227916590,1360108359,-2204051991,3300000,0.999832275,553.4925446,1172855.134,0,0,34597577.86,0.3291245991,0,0,2.842170943e-14,0,0,308.7479476,36089.98728,0,0,4025.552976,-2062362162,-141689829,direct
25,1500,compute_led,compute_led,contract_c1500_h25,1,3.75420455e+10,3103409895,1300967657,0,2293084442,2325621030,-2111293110,3300000,0.9832896833,55144.0452,1731318.261,1175460.235,0.9128228459,0,0,0,2.842170943e-14,2.842170943e-14,0,0,0,0,0,136.5,0,-2062362162,-48930948,direct
25,1750,compute_led,compute_led,contract_c1750_h25,1,3.75420455e+10,3103409895,1300967657,0,2586949500,2619486089,-1817428052,3300000,0.9832896833,55144.0452,1731318.261,1175460.235,0.9128228459,0,0,0,2.842170943e-14,2.842170943e-14,0,0,0,0,0,136.5,0,-2062362162,244934110,compute_led
25,2000,compute_led,compute_led,contract_c2000_h25,1,3.75420455e+10,3103409895,1300967657,0,2880814559,2913351147,-1523562993,3300000,0.9832896833,55144.0452,1731318.261,1175460.235,0.9128228459,0,0,0,2.842170943e-14,2.842170943e-14,0,0,0,0,0,136.5,0,-2062362162,538799169,compute_led
25,2250,compute_led,compute_led,contract_c2250_h25,1,3.75420455e+10,3103409895,1300967657,0,3174679618,3207216206,-1229697934,3300000,0.9832896833,55144.0452,1731318.261,1175460.235,0.9128228459,0,0,0,2.842170943e-14,2.842170943e-14,0,0,0,0,0,136.5,0,-2062362162,832664228,compute_led
